filepath,masks,objects
batch_01_vt/0044.jpg,batch_01_vt_masks/0044.png,"[0, 7]"
batch_01_vt/0045.jpg,batch_01_vt_masks/0045.png,"[0, 1, 2, 3, 6, 7, 9]"
batch_01_vt/0047.jpg,batch_01_vt_masks/0047.png,"[0, 1, 2, 3, 7, 9]"
batch_01_vt/0048.jpg,batch_01_vt_masks/0048.png,"[0, 2, 3, 7]"
batch_01_vt/0049.jpg,batch_01_vt_masks/0049.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0050.jpg,batch_01_vt_masks/0050.png,"[0, 3]"
batch_01_vt/0051.jpg,batch_01_vt_masks/0051.png,"[0, 3, 5, 7, 9]"
batch_01_vt/0052.jpg,batch_01_vt_masks/0052.png,"[0, 2, 3, 5, 7, 8, 9]"
batch_01_vt/0054.jpg,batch_01_vt_masks/0054.png,"[0, 2, 3, 9]"
batch_01_vt/0055.jpg,batch_01_vt_masks/0055.png,"[0, 3, 7, 9]"
batch_01_vt/0056.jpg,batch_01_vt_masks/0056.png,"[0, 2, 3, 9]"
batch_01_vt/0057.jpg,batch_01_vt_masks/0057.png,"[0, 9]"
batch_01_vt/0058.jpg,batch_01_vt_masks/0058.png,"[0, 3]"
batch_01_vt/0059.jpg,batch_01_vt_masks/0059.png,"[0, 11]"
batch_01_vt/0060.jpg,batch_01_vt_masks/0060.png,"[0, 2, 3, 4, 7, 9]"
batch_01_vt/0063.jpg,batch_01_vt_masks/0063.png,"[0, 1, 2, 7, 9]"
batch_01_vt/0065.jpg,batch_01_vt_masks/0065.png,"[0, 3, 9]"
batch_01_vt/0066.jpg,batch_01_vt_masks/0066.png,"[0, 1, 2, 3, 4, 9]"
batch_01_vt/0068.jpg,batch_01_vt_masks/0068.png,"[0, 2, 3, 5, 7, 9, 11]"
batch_01_vt/0069.jpg,batch_01_vt_masks/0069.png,"[0, 3, 7, 8, 9]"
batch_01_vt/0072.jpg,batch_01_vt_masks/0072.png,"[0, 2, 6, 7]"
batch_01_vt/0073.jpg,batch_01_vt_masks/0073.png,"[0, 2, 3, 9]"
batch_01_vt/0074.jpg,batch_01_vt_masks/0074.png,"[0, 2, 3, 4, 9]"
batch_01_vt/0075.jpg,batch_01_vt_masks/0075.png,"[0, 8, 9]"
batch_01_vt/0077.jpg,batch_01_vt_masks/0077.png,"[0, 1, 2, 7, 8, 9]"
batch_01_vt/0080.jpg,batch_01_vt_masks/0080.png,"[0, 9]"
batch_01_vt/0081.jpg,batch_01_vt_masks/0081.png,"[0, 3, 9]"
batch_01_vt/0082.jpg,batch_01_vt_masks/0082.png,"[0, 4, 9]"
batch_01_vt/0083.jpg,batch_01_vt_masks/0083.png,"[0, 8, 9]"
batch_01_vt/0084.jpg,batch_01_vt_masks/0084.png,"[0, 2, 3, 8, 9]"
batch_01_vt/0085.jpg,batch_01_vt_masks/0085.png,"[0, 2, 3, 5, 9]"
batch_01_vt/0086.jpg,batch_01_vt_masks/0086.png,"[0, 2, 9]"
batch_01_vt/0087.jpg,batch_01_vt_masks/0087.png,"[0, 2, 3, 5, 9]"
batch_01_vt/0088.jpg,batch_01_vt_masks/0088.png,"[0, 2, 9]"
batch_01_vt/0089.jpg,batch_01_vt_masks/0089.png,"[0, 2, 3]"
batch_01_vt/0090.jpg,batch_01_vt_masks/0090.png,"[0, 2, 3, 5]"
batch_01_vt/0091.jpg,batch_01_vt_masks/0091.png,"[0, 6]"
batch_01_vt/0092.jpg,batch_01_vt_masks/0092.png,"[0, 5]"
batch_01_vt/0094.jpg,batch_01_vt_masks/0094.png,"[0, 9]"
batch_01_vt/0097.jpg,batch_01_vt_masks/0097.png,"[0, 2, 3]"
batch_01_vt/0098.jpg,batch_01_vt_masks/0098.png,"[0, 2, 3, 4, 7, 9]"
batch_01_vt/0099.jpg,batch_01_vt_masks/0099.png,"[0, 7]"
batch_01_vt/0102.jpg,batch_01_vt_masks/0102.png,"[0, 9]"
batch_01_vt/0104.jpg,batch_01_vt_masks/0104.png,"[0, 3, 4, 6, 7, 9]"
batch_01_vt/0105.jpg,batch_01_vt_masks/0105.png,"[0, 2, 9]"
batch_01_vt/0107.jpg,batch_01_vt_masks/0107.png,"[0, 7, 9]"
batch_01_vt/0108.jpg,batch_01_vt_masks/0108.png,"[0, 3, 7, 8, 9]"
batch_01_vt/0109.jpg,batch_01_vt_masks/0109.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0110.jpg,batch_01_vt_masks/0110.png,"[0, 2, 4, 7]"
batch_01_vt/0111.jpg,batch_01_vt_masks/0111.png,"[0, 2, 3, 7]"
batch_01_vt/0112.jpg,batch_01_vt_masks/0112.png,"[0, 3]"
batch_01_vt/0113.jpg,batch_01_vt_masks/0113.png,"[0, 3, 9]"
batch_01_vt/0114.jpg,batch_01_vt_masks/0114.png,"[0, 7]"
batch_01_vt/0115.jpg,batch_01_vt_masks/0115.png,"[0, 2, 3, 4]"
batch_01_vt/0117.jpg,batch_01_vt_masks/0117.png,"[0, 2]"
batch_01_vt/0118.jpg,batch_01_vt_masks/0118.png,"[0, 2, 8]"
batch_01_vt/0119.jpg,batch_01_vt_masks/0119.png,"[0, 4, 9]"
batch_01_vt/0120.jpg,batch_01_vt_masks/0120.png,"[0, 4, 7, 9]"
batch_01_vt/0121.jpg,batch_01_vt_masks/0121.png,"[0, 1, 2, 3, 4, 5, 7, 9]"
batch_01_vt/0123.jpg,batch_01_vt_masks/0123.png,"[0, 7, 9]"
batch_01_vt/0124.jpg,batch_01_vt_masks/0124.png,"[0, 1, 4, 7]"
batch_01_vt/0125.jpg,batch_01_vt_masks/0125.png,"[0, 3, 7, 9]"
batch_01_vt/0126.jpg,batch_01_vt_masks/0126.png,"[0, 6]"
batch_01_vt/0127.jpg,batch_01_vt_masks/0127.png,"[0, 1, 4, 9]"
batch_01_vt/0128.jpg,batch_01_vt_masks/0128.png,"[0, 5, 9]"
batch_01_vt/0129.jpg,batch_01_vt_masks/0129.png,"[0, 3, 9]"
batch_01_vt/0130.jpg,batch_01_vt_masks/0130.png,"[0, 2, 8, 9]"
batch_01_vt/0132.jpg,batch_01_vt_masks/0132.png,"[0, 11]"
batch_01_vt/0133.jpg,batch_01_vt_masks/0133.png,"[0, 11]"
batch_01_vt/0134.jpg,batch_01_vt_masks/0134.png,"[0, 9]"
batch_01_vt/0135.jpg,batch_01_vt_masks/0135.png,"[0, 5]"
batch_01_vt/0136.jpg,batch_01_vt_masks/0136.png,"[0, 10]"
batch_01_vt/0137.jpg,batch_01_vt_masks/0137.png,"[0, 9]"
batch_01_vt/0138.jpg,batch_01_vt_masks/0138.png,"[0, 1, 3, 5, 9]"
batch_01_vt/0139.jpg,batch_01_vt_masks/0139.png,"[0, 3, 9]"
batch_01_vt/0141.jpg,batch_01_vt_masks/0141.png,"[0, 7]"
batch_01_vt/0142.jpg,batch_01_vt_masks/0142.png,"[0, 9]"
batch_01_vt/0143.jpg,batch_01_vt_masks/0143.png,"[0, 2, 9]"
batch_01_vt/0146.jpg,batch_01_vt_masks/0146.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0147.jpg,batch_01_vt_masks/0147.png,"[0, 1, 9]"
batch_01_vt/0148.jpg,batch_01_vt_masks/0148.png,"[0, 3]"
batch_01_vt/0149.jpg,batch_01_vt_masks/0149.png,"[0, 10]"
batch_01_vt/0150.jpg,batch_01_vt_masks/0150.png,"[0, 6, 7]"
batch_01_vt/0151.jpg,batch_01_vt_masks/0151.png,"[0, 4, 6, 7]"
batch_01_vt/0152.jpg,batch_01_vt_masks/0152.png,"[0, 7]"
batch_01_vt/0153.jpg,batch_01_vt_masks/0153.png,"[0, 7]"
batch_01_vt/0156.jpg,batch_01_vt_masks/0156.png,"[0, 7]"
batch_01_vt/0157.jpg,batch_01_vt_masks/0157.png,"[0, 2, 3]"
batch_01_vt/0158.jpg,batch_01_vt_masks/0158.png,"[0, 2, 7, 11]"
batch_01_vt/0159.jpg,batch_01_vt_masks/0159.png,"[0, 11]"
batch_01_vt/0160.jpg,batch_01_vt_masks/0160.png,"[0, 2, 3, 4, 6, 8, 9]"
batch_01_vt/0161.jpg,batch_01_vt_masks/0161.png,"[0, 3, 8, 9]"
batch_01_vt/0162.jpg,batch_01_vt_masks/0162.png,"[0, 3]"
batch_01_vt/0163.jpg,batch_01_vt_masks/0163.png,"[0, 3, 5]"
batch_01_vt/0165.jpg,batch_01_vt_masks/0165.png,"[0, 3, 7]"
batch_01_vt/0166.jpg,batch_01_vt_masks/0166.png,"[0, 2, 3]"
batch_01_vt/0167.jpg,batch_01_vt_masks/0167.png,"[0, 7]"
batch_01_vt/0168.jpg,batch_01_vt_masks/0168.png,"[0, 7]"
batch_01_vt/0169.jpg,batch_01_vt_masks/0169.png,"[0, 3, 7, 9]"
batch_01_vt/0171.jpg,batch_01_vt_masks/0171.png,"[0, 3, 7, 9, 11]"
batch_01_vt/0172.jpg,batch_01_vt_masks/0172.png,"[0, 11]"
batch_01_vt/0174.jpg,batch_01_vt_masks/0174.png,"[0, 6]"
batch_01_vt/0175.jpg,batch_01_vt_masks/0175.png,"[0, 6]"
batch_01_vt/0176.jpg,batch_01_vt_masks/0176.png,"[0, 3, 10]"
batch_01_vt/0177.jpg,batch_01_vt_masks/0177.png,"[0, 3, 9, 11]"
batch_01_vt/0178.jpg,batch_01_vt_masks/0178.png,"[0, 11]"
batch_01_vt/0179.jpg,batch_01_vt_masks/0179.png,"[0, 2, 11]"
batch_01_vt/0181.jpg,batch_01_vt_masks/0181.png,"[0, 6]"
batch_01_vt/0182.jpg,batch_01_vt_masks/0182.png,"[0, 6]"
batch_01_vt/0183.jpg,batch_01_vt_masks/0183.png,"[0, 6]"
batch_01_vt/0184.jpg,batch_01_vt_masks/0184.png,"[0, 3, 6, 11]"
batch_01_vt/0185.jpg,batch_01_vt_masks/0185.png,"[0, 6, 7]"
batch_01_vt/0187.jpg,batch_01_vt_masks/0187.png,"[0, 2, 6, 7, 11]"
batch_01_vt/0188.jpg,batch_01_vt_masks/0188.png,"[0, 6, 7]"
batch_01_vt/0189.jpg,batch_01_vt_masks/0189.png,"[0, 5, 6]"
batch_01_vt/0190.jpg,batch_01_vt_masks/0190.png,"[0, 3, 6, 7]"
batch_01_vt/0191.jpg,batch_01_vt_masks/0191.png,"[0, 6]"
batch_01_vt/0192.jpg,batch_01_vt_masks/0192.png,"[0, 6]"
batch_01_vt/0193.jpg,batch_01_vt_masks/0193.png,"[0, 6]"
batch_01_vt/0194.jpg,batch_01_vt_masks/0194.png,"[0, 10]"
batch_01_vt/0195.jpg,batch_01_vt_masks/0195.png,"[0, 3, 11]"
batch_01_vt/0196.jpg,batch_01_vt_masks/0196.png,"[0, 6]"
batch_01_vt/0197.jpg,batch_01_vt_masks/0197.png,"[0, 11]"
batch_01_vt/0199.jpg,batch_01_vt_masks/0199.png,"[0, 2, 3, 7]"
batch_01_vt/0200.jpg,batch_01_vt_masks/0200.png,"[0, 6]"
batch_01_vt/0201.jpg,batch_01_vt_masks/0201.png,"[0, 6, 9]"
batch_01_vt/0202.jpg,batch_01_vt_masks/0202.png,"[0, 2, 6, 9]"
batch_01_vt/0203.jpg,batch_01_vt_masks/0203.png,"[0, 3]"
batch_01_vt/0204.jpg,batch_01_vt_masks/0204.png,"[0, 6, 8]"
batch_01_vt/0205.jpg,batch_01_vt_masks/0205.png,"[0, 2, 3, 9]"
batch_01_vt/0207.jpg,batch_01_vt_masks/0207.png,"[0, 2, 6]"
batch_01_vt/0208.jpg,batch_01_vt_masks/0208.png,"[0, 2, 10]"
batch_01_vt/0209.jpg,batch_01_vt_masks/0209.png,"[0, 10]"
batch_01_vt/0210.jpg,batch_01_vt_masks/0210.png,"[0, 6, 8, 9]"
batch_01_vt/0211.jpg,batch_01_vt_masks/0211.png,"[0, 3, 7, 9, 10]"
batch_01_vt/0212.jpg,batch_01_vt_masks/0212.png,"[0, 5, 7]"
batch_01_vt/0215.jpg,batch_01_vt_masks/0215.png,"[0, 3]"
batch_01_vt/0217.jpg,batch_01_vt_masks/0217.png,"[0, 2, 3]"
batch_01_vt/0218.jpg,batch_01_vt_masks/0218.png,"[0, 7]"
batch_01_vt/0219.jpg,batch_01_vt_masks/0219.png,"[0, 2, 3, 9]"
batch_01_vt/0220.jpg,batch_01_vt_masks/0220.png,"[0, 7, 9]"
batch_01_vt/0221.jpg,batch_01_vt_masks/0221.png,"[0, 3]"
batch_01_vt/0222.jpg,batch_01_vt_masks/0222.png,"[0, 9]"
batch_01_vt/0223.jpg,batch_01_vt_masks/0223.png,"[0, 2, 3]"
batch_01_vt/0225.jpg,batch_01_vt_masks/0225.png,"[0, 2, 7, 9]"
batch_01_vt/0226.jpg,batch_01_vt_masks/0226.png,"[0, 3, 9]"
batch_01_vt/0228.jpg,batch_01_vt_masks/0228.png,"[0, 3]"
batch_01_vt/0229.jpg,batch_01_vt_masks/0229.png,"[0, 3, 7]"
batch_01_vt/0230.jpg,batch_01_vt_masks/0230.png,"[0, 2]"
batch_01_vt/0231.jpg,batch_01_vt_masks/0231.png,"[0, 7]"
batch_01_vt/0232.jpg,batch_01_vt_masks/0232.png,"[0, 2, 7, 9]"
batch_01_vt/0233.jpg,batch_01_vt_masks/0233.png,"[0, 3, 9]"
batch_01_vt/0236.jpg,batch_01_vt_masks/0236.png,"[0, 2, 9]"
batch_01_vt/0237.jpg,batch_01_vt_masks/0237.png,"[0, 4]"
batch_01_vt/0238.jpg,batch_01_vt_masks/0238.png,"[0, 2, 3]"
batch_01_vt/0239.jpg,batch_01_vt_masks/0239.png,"[0, 7, 9]"
batch_01_vt/0240.jpg,batch_01_vt_masks/0240.png,"[0, 3]"
batch_01_vt/0241.jpg,batch_01_vt_masks/0241.png,"[0, 7, 9]"
batch_01_vt/0242.jpg,batch_01_vt_masks/0242.png,"[0, 3]"
batch_01_vt/0243.jpg,batch_01_vt_masks/0243.png,"[0, 9]"
batch_01_vt/0245.jpg,batch_01_vt_masks/0245.png,"[0, 2, 7]"
batch_01_vt/0246.jpg,batch_01_vt_masks/0246.png,"[0, 4, 9]"
batch_01_vt/0248.jpg,batch_01_vt_masks/0248.png,"[0, 2]"
batch_01_vt/0250.jpg,batch_01_vt_masks/0250.png,"[0, 3, 4]"
batch_01_vt/0252.jpg,batch_01_vt_masks/0252.png,"[0, 1, 3]"
batch_01_vt/0254.jpg,batch_01_vt_masks/0254.png,"[0, 2, 3, 7, 9, 11]"
batch_01_vt/0255.jpg,batch_01_vt_masks/0255.png,"[0, 9]"
batch_01_vt/0256.jpg,batch_01_vt_masks/0256.png,"[0, 4]"
batch_01_vt/0257.jpg,batch_01_vt_masks/0257.png,"[0, 9]"
batch_01_vt/0258.jpg,batch_01_vt_masks/0258.png,"[0, 3]"
batch_01_vt/0259.jpg,batch_01_vt_masks/0259.png,"[0, 2, 3, 7, 8, 9]"
batch_01_vt/0260.jpg,batch_01_vt_masks/0260.png,"[0, 3, 7, 9]"
batch_01_vt/0261.jpg,batch_01_vt_masks/0261.png,"[0, 3]"
batch_01_vt/0262.jpg,batch_01_vt_masks/0262.png,"[0, 3, 4, 6, 9]"
batch_01_vt/0263.jpg,batch_01_vt_masks/0263.png,"[0, 3, 7, 9]"
batch_01_vt/0265.jpg,batch_01_vt_masks/0265.png,"[0, 3, 7, 9]"
batch_01_vt/0266.jpg,batch_01_vt_masks/0266.png,"[0, 7]"
batch_01_vt/0267.jpg,batch_01_vt_masks/0267.png,"[0, 7, 9]"
batch_01_vt/0268.jpg,batch_01_vt_masks/0268.png,"[0, 4]"
batch_01_vt/0269.jpg,batch_01_vt_masks/0269.png,"[0, 3, 5, 9]"
batch_01_vt/0270.jpg,batch_01_vt_masks/0270.png,"[0, 2, 3, 6, 7, 9]"
batch_01_vt/0271.jpg,batch_01_vt_masks/0271.png,"[0, 3, 9]"
batch_01_vt/0272.jpg,batch_01_vt_masks/0272.png,"[0, 7]"
batch_01_vt/0273.jpg,batch_01_vt_masks/0273.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0274.jpg,batch_01_vt_masks/0274.png,"[0, 5, 9]"
batch_01_vt/0275.jpg,batch_01_vt_masks/0275.png,"[0, 3, 7]"
batch_01_vt/0276.jpg,batch_01_vt_masks/0276.png,"[0, 7, 9]"
batch_01_vt/0277.jpg,batch_01_vt_masks/0277.png,"[0, 3, 9]"
batch_01_vt/0278.jpg,batch_01_vt_masks/0278.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0279.jpg,batch_01_vt_masks/0279.png,"[0, 9]"
batch_01_vt/0282.jpg,batch_01_vt_masks/0282.png,"[0, 3, 5, 7, 9]"
batch_01_vt/0283.jpg,batch_01_vt_masks/0283.png,"[0, 7, 9]"
batch_01_vt/0285.jpg,batch_01_vt_masks/0285.png,"[0, 9]"
batch_01_vt/0286.jpg,batch_01_vt_masks/0286.png,"[0, 2, 3, 4, 7, 9]"
batch_01_vt/0287.jpg,batch_01_vt_masks/0287.png,"[0, 6]"
batch_01_vt/0288.jpg,batch_01_vt_masks/0288.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0290.jpg,batch_01_vt_masks/0290.png,"[0, 2, 9]"
batch_01_vt/0291.jpg,batch_01_vt_masks/0291.png,"[0, 2, 4, 7]"
batch_01_vt/0292.jpg,batch_01_vt_masks/0292.png,"[0, 3, 8, 9]"
batch_01_vt/0293.jpg,batch_01_vt_masks/0293.png,"[0, 3, 9, 11]"
batch_01_vt/0294.jpg,batch_01_vt_masks/0294.png,"[0, 1, 3, 8]"
batch_01_vt/0295.jpg,batch_01_vt_masks/0295.png,"[0, 3, 9]"
batch_01_vt/0296.jpg,batch_01_vt_masks/0296.png,"[0, 3, 4]"
batch_01_vt/0297.jpg,batch_01_vt_masks/0297.png,"[0, 1, 3, 7, 9]"
batch_01_vt/0298.jpg,batch_01_vt_masks/0298.png,"[0, 3, 4, 5]"
batch_01_vt/0299.jpg,batch_01_vt_masks/0299.png,"[0, 5]"
batch_01_vt/0301.jpg,batch_01_vt_masks/0301.png,"[0, 1, 3, 5, 7, 9, 11]"
batch_01_vt/0302.jpg,batch_01_vt_masks/0302.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0303.jpg,batch_01_vt_masks/0303.png,"[0, 3]"
batch_01_vt/0304.jpg,batch_01_vt_masks/0304.png,"[0, 7, 9]"
batch_01_vt/0306.jpg,batch_01_vt_masks/0306.png,"[0, 5]"
batch_01_vt/0307.jpg,batch_01_vt_masks/0307.png,"[0, 4]"
batch_01_vt/0308.jpg,batch_01_vt_masks/0308.png,"[0, 4, 7, 9]"
batch_01_vt/0311.jpg,batch_01_vt_masks/0311.png,"[0, 2, 3, 8, 9]"
batch_01_vt/0312.jpg,batch_01_vt_masks/0312.png,"[0, 7]"
batch_01_vt/0313.jpg,batch_01_vt_masks/0313.png,"[0, 1, 2, 3]"
batch_01_vt/0314.jpg,batch_01_vt_masks/0314.png,"[0, 9]"
batch_01_vt/0315.jpg,batch_01_vt_masks/0315.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0316.jpg,batch_01_vt_masks/0316.png,"[0, 9]"
batch_01_vt/0317.jpg,batch_01_vt_masks/0317.png,"[0, 9]"
batch_01_vt/0318.jpg,batch_01_vt_masks/0318.png,"[0, 7]"
batch_01_vt/0319.jpg,batch_01_vt_masks/0319.png,"[0, 7]"
batch_01_vt/0320.jpg,batch_01_vt_masks/0320.png,"[0, 2, 4]"
batch_01_vt/0321.jpg,batch_01_vt_masks/0321.png,"[0, 7, 9]"
batch_01_vt/0325.jpg,batch_01_vt_masks/0325.png,"[0, 9]"
batch_01_vt/0326.jpg,batch_01_vt_masks/0326.png,"[0, 3, 9]"
batch_01_vt/0327.jpg,batch_01_vt_masks/0327.png,"[0, 3, 9, 11]"
batch_01_vt/0328.jpg,batch_01_vt_masks/0328.png,"[0, 3, 9]"
batch_01_vt/0329.jpg,batch_01_vt_masks/0329.png,"[0, 3]"
batch_01_vt/0330.jpg,batch_01_vt_masks/0330.png,"[0, 4]"
batch_01_vt/0332.jpg,batch_01_vt_masks/0332.png,"[0, 4]"
batch_01_vt/0333.jpg,batch_01_vt_masks/0333.png,"[0, 3, 4]"
batch_01_vt/0334.jpg,batch_01_vt_masks/0334.png,"[0, 3, 7, 10, 11]"
batch_01_vt/0336.jpg,batch_01_vt_masks/0336.png,"[0, 7]"
batch_01_vt/0339.jpg,batch_01_vt_masks/0339.png,"[0, 5, 8]"
batch_01_vt/0340.jpg,batch_01_vt_masks/0340.png,"[0, 3, 5, 7, 8, 9]"
batch_01_vt/0342.jpg,batch_01_vt_masks/0342.png,"[0, 7]"
batch_01_vt/0343.jpg,batch_01_vt_masks/0343.png,"[0, 2]"
batch_01_vt/0344.jpg,batch_01_vt_masks/0344.png,"[0, 3, 9]"
batch_01_vt/0345.jpg,batch_01_vt_masks/0345.png,"[0, 4]"
batch_01_vt/0347.jpg,batch_01_vt_masks/0347.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0348.jpg,batch_01_vt_masks/0348.png,"[0, 4, 5, 7]"
batch_01_vt/0349.jpg,batch_01_vt_masks/0349.png,"[0, 3]"
batch_01_vt/0350.jpg,batch_01_vt_masks/0350.png,"[0, 2, 7]"
batch_01_vt/0351.jpg,batch_01_vt_masks/0351.png,"[0, 2, 3, 7]"
batch_01_vt/0352.jpg,batch_01_vt_masks/0352.png,"[0, 9]"
batch_01_vt/0353.jpg,batch_01_vt_masks/0353.png,"[0, 3, 8, 9]"
batch_01_vt/0354.jpg,batch_01_vt_masks/0354.png,"[0, 7]"
batch_01_vt/0355.jpg,batch_01_vt_masks/0355.png,"[0, 7, 8, 9]"
batch_01_vt/0356.jpg,batch_01_vt_masks/0356.png,"[0, 2, 8, 9]"
batch_01_vt/0358.jpg,batch_01_vt_masks/0358.png,"[0, 5]"
batch_01_vt/0359.jpg,batch_01_vt_masks/0359.png,"[0, 3, 9]"
batch_01_vt/0360.jpg,batch_01_vt_masks/0360.png,"[0, 1, 2, 3, 7, 9]"
batch_01_vt/0361.jpg,batch_01_vt_masks/0361.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0362.jpg,batch_01_vt_masks/0362.png,"[0, 2, 4, 7]"
batch_01_vt/0363.jpg,batch_01_vt_masks/0363.png,"[0, 3, 4, 7]"
batch_01_vt/0364.jpg,batch_01_vt_masks/0364.png,"[0, 7]"
batch_01_vt/0365.jpg,batch_01_vt_masks/0365.png,"[0, 2, 9]"
batch_01_vt/0366.jpg,batch_01_vt_masks/0366.png,"[0, 9]"
batch_01_vt/0370.jpg,batch_01_vt_masks/0370.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0371.jpg,batch_01_vt_masks/0371.png,"[0, 3]"
batch_01_vt/0372.jpg,batch_01_vt_masks/0372.png,"[0, 3, 4, 5, 7, 9]"
batch_01_vt/0373.jpg,batch_01_vt_masks/0373.png,"[0, 2, 3]"
batch_01_vt/0374.jpg,batch_01_vt_masks/0374.png,"[0, 2, 5]"
batch_01_vt/0375.jpg,batch_01_vt_masks/0375.png,"[0, 4]"
batch_01_vt/0376.jpg,batch_01_vt_masks/0376.png,"[0, 6]"
batch_01_vt/0378.jpg,batch_01_vt_masks/0378.png,"[0, 3, 7, 9]"
batch_01_vt/0379.jpg,batch_01_vt_masks/0379.png,"[0, 4, 7]"
batch_01_vt/0380.jpg,batch_01_vt_masks/0380.png,"[0, 9]"
batch_01_vt/0381.jpg,batch_01_vt_masks/0381.png,"[0, 7]"
batch_01_vt/0382.jpg,batch_01_vt_masks/0382.png,"[0, 2, 3, 7]"
batch_01_vt/0383.jpg,batch_01_vt_masks/0383.png,"[0, 2, 3, 9]"
batch_01_vt/0384.jpg,batch_01_vt_masks/0384.png,"[0, 2]"
batch_01_vt/0385.jpg,batch_01_vt_masks/0385.png,"[0, 5]"
batch_01_vt/0386.jpg,batch_01_vt_masks/0386.png,"[0, 3]"
batch_01_vt/0387.jpg,batch_01_vt_masks/0387.png,"[0, 2]"
batch_01_vt/0390.jpg,batch_01_vt_masks/0390.png,"[0, 9]"
batch_01_vt/0391.jpg,batch_01_vt_masks/0391.png,"[0, 2]"
batch_01_vt/0392.jpg,batch_01_vt_masks/0392.png,"[0, 1, 3, 7]"
batch_01_vt/0393.jpg,batch_01_vt_masks/0393.png,"[0, 9]"
batch_01_vt/0394.jpg,batch_01_vt_masks/0394.png,"[0, 2]"
batch_01_vt/0396.jpg,batch_01_vt_masks/0396.png,"[0, 3]"
batch_01_vt/0397.jpg,batch_01_vt_masks/0397.png,"[0, 2]"
batch_01_vt/0398.jpg,batch_01_vt_masks/0398.png,"[0, 7]"
batch_01_vt/0399.jpg,batch_01_vt_masks/0399.png,"[0, 7]"
batch_01_vt/0400.jpg,batch_01_vt_masks/0400.png,"[0, 3]"
